,primary_label,secondary_labels,rating,filename,source,length,fold
0,bird,[],5.0,00053d90-e4b9-4045-a2f1-f39efc90cfa9.wav,birdvox,320000,0
1,nocall,[],5.0,000db435-a40f-4ad9-a74e-d1af284d2c44.wav,birdvox,320000,0
2,bird,[],5.0,001059c0-e04f-42fc-a8e2-11aad24dc6fb.wav,birdvox,320000,0
3,nocall,[],5.0,00106202-f61e-467d-a80f-070d90421952.wav,birdvox,320000,0
4,nocall,[],5.0,00129593-77ca-40b2-a512-75d178071250.wav,birdvox,320000,0
5,nocall,[],5.0,00143c1f-bcac-47f6-a83d-81b2975ccca3.wav,birdvox,320000,0
6,bird,[],5.0,00160fdf-5231-461b-acd7-1db41abf3ee5.wav,birdvox,320000,0
7,nocall,[],5.0,00162d26-57e6-4924-a247-5f58963f1403.wav,birdvox,320000,0
8,nocall,[],5.0,001ac3fe-c23a-4366-a16d-8d59f021b17e.wav,birdvox,320000,0
9,nocall,[],5.0,001ac895-0e9c-41d8-a76c-65c73c4a8d11.wav,birdvox,320000,0
10,bird,[],5.0,001b8d8a-4247-4c46-a11b-b868fa3edb0a.wav,birdvox,320000,0
11,bird,[],5.0,001d5212-6378-4a5d-aa3c-b1115d02ee79.wav,birdvox,320000,0
12,bird,[],5.0,00246270-9f15-4da5-ab79-6af92f56cf5b.wav,birdvox,320000,0
13,bird,[],5.0,0029b258-932f-4173-a4ae-82f2d58c1eee.wav,birdvox,320000,0
14,bird,[],5.0,00367f8b-18e4-48f3-ad60-f2ce73856150.wav,birdvox,320000,0
15,nocall,[],5.0,0037f1c8-2a40-4bb6-a6a5-04bfb65566a3.wav,birdvox,320000,0
16,bird,[],5.0,0039d051-6d86-4e2f-ac60-6c41e71b9176.wav,birdvox,320000,0
17,nocall,[],5.0,004c09d5-3054-4832-acb0-4ff15be8a855.wav,birdvox,320000,0
18,bird,[],5.0,0051c651-80d9-4204-abbb-359aed40a9a0.wav,birdvox,320000,0
19,bird,[],5.0,0055615b-c316-43d7-a789-a0f6c2983081.wav,birdvox,320000,0
20,bird,[],5.0,005a19d0-e868-41c5-ab87-3fdaf5040a57.wav,birdvox,320000,0
21,nocall,[],5.0,005af2de-a46f-41a1-a6c1-f5b5766e967f.wav,birdvox,320000,0
22,nocall,[],5.0,005fbf9f-4cc8-4f76-a161-61127c44cc8d.wav,birdvox,320000,0
23,nocall,[],5.0,006d7153-e674-4a70-aa0c-8f4c501e826c.wav,birdvox,320000,0
24,nocall,[],5.0,00709843-7511-4a0b-a70f-28ce0325eeb4.wav,birdvox,320000,0
25,nocall,[],5.0,00754d71-378f-4458-aada-9f2ee70a3de0.wav,birdvox,320000,0
26,bird,[],5.0,00766712-3eca-48c3-acb2-f4ceeaefe746.wav,birdvox,320000,0
27,nocall,[],5.0,007d2215-0de2-4bd5-a02a-f08e1001202c.wav,birdvox,320000,0
28,nocall,[],5.0,00837ab5-0ce0-4448-af39-a56d95be35bf.wav,birdvox,320000,0
29,bird,[],5.0,0084db44-5651-4e1e-a696-c3a7e5d255b1.wav,birdvox,320000,0
30,bird,[],5.0,0086ef15-537a-4682-a173-7757b0da6f5a.wav,birdvox,320000,0
31,bird,[],5.0,008d8612-f008-4a75-a9d4-e8292c8588cf.wav,birdvox,320000,0
32,nocall,[],5.0,00931231-b401-477e-aa0d-39081bb8583d.wav,birdvox,320000,0
33,bird,[],5.0,0095af1d-5cb1-4859-a7c7-d1bed922deb4.wav,birdvox,320000,0
34,bird,[],5.0,00960c0b-16e5-4a5b-a5e7-ac1fef8f488f.wav,birdvox,320000,0
35,nocall,[],5.0,00a76d1a-d12b-411e-a4ca-61720d79aaba.wav,birdvox,320000,0
36,bird,[],5.0,00a992ec-9032-4707-a96d-9d40e9ea95a2.wav,birdvox,320000,0
37,bird,[],5.0,00adbc49-77ef-4b7e-a453-cbb4ee011e11.wav,birdvox,320000,0
38,bird,[],5.0,00b34f64-a7b9-4ff4-af4e-fc78174ed8d9.wav,birdvox,320000,0
39,nocall,[],5.0,00ba1da0-5a5d-48db-a550-c0bf16f55d95.wav,birdvox,320000,0
