primary_label,secondary_labels,latitude,longitude,author,rating,filename,is_scored,num_secondary_labels,length_x,channels,bitrate,sample_rate,t_min,t_max,f_min,f_max,t_mid,length_y,path,primary_lanbel_id,secondary_lanbel_id,primary_order_id,primary_family_id,secondary_order_id,secondary_family_id,fold
afrsil1,[],12.390999999999998,-1.493,Bram Piot,2.5,afrsil1/XC125458.ogg,False,0,11.10203125,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC125458.ogg,0,[],8,9,[],[],3
afrsil1,"['houspa', 'redava', 'zebdov']",19.8801,-155.7254,Dan Lane,3.5,afrsil1/XC175522.ogg,False,3,47.02040625,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC175522.ogg,0,"[68, 113, 151]",8,9,"[8, 8, 3]","[20, 9, 7]",0
afrsil1,[],16.2901,-16.0321,Bram Piot,4.0,afrsil1/XC177993.ogg,False,0,53.76,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC177993.ogg,0,[],8,9,[],[],1
afrsil1,[],17.0922,54.2958,Oscar Campbell,4.0,afrsil1/XC205893.ogg,False,0,105.4824375,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC205893.ogg,0,[],8,9,[],[],2
afrsil1,[],21.4581,-157.7252,Ross Gallardy,3.0,afrsil1/XC207431.ogg,False,0,3.39590625,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC207431.ogg,0,[],8,9,[],[],2
afrsil1,[],21.4581,-157.7252,Ross Gallardy,4.0,afrsil1/XC207432.ogg,False,0,3.50040625,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC207432.ogg,0,[],8,9,[],[],0
afrsil1,[],21.3561,-158.0205,Ross Gallardy,4.0,afrsil1/XC209513.ogg,False,0,42.8669375,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC209513.ogg,0,[],8,9,[],[],2
afrsil1,[],10.1538,-0.7996,Phil Gregory,3.0,afrsil1/XC234994.ogg,False,0,34.84734375,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC234994.ogg,0,[],8,9,[],[],3
afrsil1,[],14.5088,-17.0696,Bram Piot,3.5,afrsil1/XC317039.ogg,False,0,44.1208125,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC317039.ogg,0,[],8,9,[],[],2
afrsil1,[],14.7279,-17.4329,Bram Piot,3.5,afrsil1/XC322742.ogg,False,0,31.921625,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC322742.ogg,0,[],8,9,[],[],1
afrsil1,[],-1.3306,36.9251,James Bradley,3.0,afrsil1/XC344134.ogg,False,0,30.87675,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC344134.ogg,0,[],8,9,[],[],3
afrsil1,[],17.1024,54.45,Matthias Feuersenger,3.5,afrsil1/XC371226.ogg,False,0,10.00490625,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC371226.ogg,0,[],8,9,[],[],0
afrsil1,[],17.1003,54.2844,Boris Delahaie,4.5,afrsil1/XC395771.ogg,False,0,27.219,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC395771.ogg,0,[],8,9,[],[],1
afrsil1,[],17.0922,54.2958,Oscar Campbell,2.5,afrsil1/XC445331.ogg,False,0,11.99,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC445331.ogg,0,[],8,9,[],[],0
afrsil1,[],11.8047,13.1966,Sun Madakan ,3.0,afrsil1/XC597072.ogg,False,0,32.904,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC597072.ogg,0,[],8,9,[],[],1
afrsil1,[],17.0578,42.9626,Gregory Askew,3.5,afrsil1/XC650014.ogg,False,0,25.99184375,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/afrsil1/XC650014.ogg,0,[],8,9,[],[],3
akekee,[],22.1467,-159.6134,Dan Lane,4.0,akekee/XC174953.ogg,False,0,2.40325,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akekee/XC174953.ogg,1,[],8,12,[],[],3
akekee,[],22.1467,-159.6134,Dan Lane,4.0,akekee/XC174954.ogg,False,0,15.20325,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akekee/XC174954.ogg,1,[],8,12,[],[],0
akekee,"['apapan', 'warwhe1']",22.1467,-159.6134,Ross Gallardy,4.5,akekee/XC210201.ogg,False,2,76.878375,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akekee/XC210201.ogg,1,"[7, 141]",8,12,"[8, 8]","[12, 40]",1
akekee,['apapan'],22.0815,-159.555,Patrick Blake,3.5,akekee/XC219961.ogg,False,1,57.99184375,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akekee/XC219961.ogg,1,[7],8,12,[8],[12],0
akekee,['iiwi'],22.1467,-159.6134,Daniel Lane,3.5,akekee/XC27306.ogg,False,1,166.9485625,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akekee/XC27306.ogg,1,[70],8,12,[8],[12],1
akekee,[],22.1467,-159.6134,Daniel Lane,4.0,akekee/XC27320.ogg,False,0,18.18121875,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akekee/XC27320.ogg,1,[],8,12,[],[],2
akepa1,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi']",19.6292,-155.3597,Brooks Rownd,2.5,akepa1/XC122473.ogg,False,5,140.112,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC122473.ogg,2,"[3, 7, 60, 62, 70]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 12, 12]",0
akepa1,"['apapan', 'iiwi', 'warwhe1']",19.6223,-155.3598,Brooks Rownd,4.5,akepa1/XC122672.ogg,False,3,92.064,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC122672.ogg,2,"[7, 70, 141]",8,12,"[8, 8, 8]","[12, 12, 40]",3
akepa1,"['apapan', 'iiwi']",19.6294,-155.3615,Brooks Rownd,4.5,akepa1/XC124794.ogg,False,2,18.096,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC124794.ogg,2,"[7, 70]",8,12,"[8, 8]","[12, 12]",0
akepa1,"['apapan', 'iiwi', 'warwhe1']",19.8224,-155.2964,Brooks Rownd,3.5,akepa1/XC127673.ogg,False,3,144.192,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC127673.ogg,2,"[7, 70, 141]",8,12,"[8, 8, 8]","[12, 12, 40]",2
akepa1,"['akiapo', 'apapan', 'hawama', 'omao', 'warwhe1']",19.5727,-155.3189,Brooks Rownd,4.5,akepa1/XC147002.ogg,False,5,377.04,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC147002.ogg,2,"[3, 7, 60, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",2
akepa1,"['apapan', 'iiwi', 'warwhe1']",19.7901,-155.3273,Dan Lane,3.5,akepa1/XC175511.ogg,False,3,225.9330625,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC175511.ogg,2,"[7, 70, 141]",8,12,"[8, 8, 8]","[12, 12, 40]",1
akepa1,"['apapan', 'iiwi']",19.7901,-155.3273,Dan Lane,3.5,akepa1/XC175512.ogg,False,2,24.293875,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC175512.ogg,2,"[7, 70]",8,12,"[8, 8]","[12, 12]",3
akepa1,"['apapan', 'iiwi']",19.7901,-155.3273,Dan Lane,3.5,akepa1/XC175513.ogg,False,2,61.20490625,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC175513.ogg,2,"[7, 70]",8,12,"[8, 8]","[12, 12]",1
akepa1,['iiwi'],19.7901,-155.3273,Daniel Lane,3.5,akepa1/XC27348.ogg,False,1,9.0645,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC27348.ogg,2,[70],8,12,[8],[12],3
akepa1,['iiwi'],19.7901,-155.3273,Daniel Lane,3.5,akepa1/XC27356.ogg,False,1,2.6645,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akepa1/XC27356.ogg,2,[70],8,12,[8],[12],2
akiapo,"['apapan', 'hawama', 'iiwi']",19.6294,-155.3615,Brooks Rownd,4.5,akiapo/XC122399.ogg,True,3,29.328000000000003,2,112000,32000,1.8,4.9,1500,15000.0,3.35,29.328000000000003,./data/input/birdclef-2022/train_audio/akiapo/XC122399.ogg,3,"[7, 60, 70]",8,12,"[8, 8, 8]","[12, 12, 12]",3
akiapo,"['apapan', 'hawama', 'iiwi']",19.6294,-155.3615,Brooks Rownd,4.5,akiapo/XC122399.ogg,True,3,29.328000000000003,2,112000,32000,26.5,29.0,1500,15000.0,27.75,29.328000000000003,./data/input/birdclef-2022/train_audio/akiapo/XC122399.ogg,3,"[7, 60, 70]",8,12,"[8, 8, 8]","[12, 12, 12]",2
akiapo,"['apapan', 'iiwi', 'warwhe1']",19.6294,-155.3615,Brooks Rownd,4.5,akiapo/XC122401.ogg,True,3,54.696000000000005,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akiapo/XC122401.ogg,3,"[7, 70, 141]",8,12,"[8, 8, 8]","[12, 12, 40]",2
akiapo,['apapan'],19.6642,-155.3896,Brooks Rownd,4.5,akiapo/XC122693.ogg,True,1,17.208,2,112000,32000,4.4,8.0,1500,15000.0,6.2,17.208,./data/input/birdclef-2022/train_audio/akiapo/XC122693.ogg,3,[7],8,12,[8],[12],0
akiapo,"['apapan', 'elepai', 'hawama', 'iiwi', 'omao', 'warwhe1']",19.6642,-155.3896,Brooks Rownd,3.5,akiapo/XC124705.ogg,True,6,222.28799999999998,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akiapo/XC124705.ogg,3,"[7, 46, 60, 70, 101, 141]",8,12,"[8, 8, 8, 8, 8, 8]","[12, 17, 12, 12, 38, 40]",3
akiapo,"['apapan', 'hawama', 'iiwi', 'omao', 'warwhe1']",19.6334,-155.3753,Brooks Rownd,2.5,akiapo/XC124801.ogg,True,5,74.304,2,112000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akiapo/XC124801.ogg,3,"[7, 60, 70, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",2
akiapo,"['apapan', 'hawama', 'iiwi']",19.7937,-155.3243,Eric VanderWerf,4.5,akiapo/XC144826.ogg,True,3,72.048,1,72000,32000,,,,,,,./data/input/birdclef-2022/train_audio/akiapo/XC144826.ogg,3,"[7, 60, 70]",8,12,"[8, 8, 8]","[12, 12, 12]",2
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",19.5866,-155.3402,Brooks Rownd,3.5,akiapo/XC147003.ogg,True,5,115.03200000000001,2,112000,32000,5.0,10.0,1500,15000.0,7.5,115.03200000000001,./data/input/birdclef-2022/train_audio/akiapo/XC147003.ogg,3,"[2, 7, 62, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",1
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",19.5866,-155.3402,Brooks Rownd,3.5,akiapo/XC147003.ogg,True,5,115.03200000000001,2,112000,32000,20.0,25.0,1500,15000.0,22.5,115.03200000000001,./data/input/birdclef-2022/train_audio/akiapo/XC147003.ogg,3,"[2, 7, 62, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",3
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",19.5866,-155.3402,Brooks Rownd,3.5,akiapo/XC147003.ogg,True,5,115.03200000000001,2,112000,32000,35.0,40.0,1500,15000.0,37.5,115.03200000000001,./data/input/birdclef-2022/train_audio/akiapo/XC147003.ogg,3,"[2, 7, 62, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",1
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",19.5866,-155.3402,Brooks Rownd,3.5,akiapo/XC147003.ogg,True,5,115.03200000000001,2,112000,32000,50.0,55.0,1500,15000.0,52.5,115.03200000000001,./data/input/birdclef-2022/train_audio/akiapo/XC147003.ogg,3,"[2, 7, 62, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",3
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",19.5866,-155.3402,Brooks Rownd,3.5,akiapo/XC147003.ogg,True,5,115.03200000000001,2,112000,32000,65.0,70.0,1500,15000.0,67.5,115.03200000000001,./data/input/birdclef-2022/train_audio/akiapo/XC147003.ogg,3,"[2, 7, 62, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",1
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']",19.5866,-155.3402,Brooks Rownd,3.5,akiapo/XC147003.ogg,True,5,115.03200000000001,2,112000,32000,80.0,85.0,1500,15000.0,82.5,115.03200000000001,./data/input/birdclef-2022/train_audio/akiapo/XC147003.ogg,3,"[2, 7, 62, 101, 141]",8,12,"[8, 8, 8, 8, 8]","[12, 12, 12, 38, 40]",2
